#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
"14","Aqui a Emenda N° 14 destina R$ 150000,00 para Construção da Praça Ipê Amarelo em Águas Claras","2013-01-16 00:57:00","XX-Águas Claras","Emenda N° 14<BR>Valor:  R$ 150000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção da Praça Ipê Amarelo em Águas Claras<BR>Região do DF onde será gasto o recurso: XX-Águas Claras<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: AR Águas Claras","XX-Águas Claras,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.83687", "-48.02512",YES,YES
"15","Aqui a Emenda N° 15 destina R$ 300000,00 para Apoio à realização do Festival da Arte e da Cultura Candanga - FACC","2013-01-16 00:57:00","DF","Emenda N° 15<BR>Valor:  R$ 300000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do Festival da Arte e da Cultura Candanga - FACC<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"16","Aqui a Emenda N° 16 destina R$ 250000,00 para Exibição de filmes cinematorgáficos nas unidades do sistema socio-educativo da Sec. Da Criança","2013-01-16 00:57:00","DF","Emenda N° 16<BR>Valor:  R$ 250000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Exibição de filmes cinematorgáficos nas unidades do sistema socio-educativo da Sec. Da Criança<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Criança","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"17","Aqui a Emenda N° 17 destina R$ 225000,00 para Apoio à realização do Dia do Sertanejo","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 17<BR>Valor:  R$ 225000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do Dia do Sertanejo<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"18","Aqui a Emenda N° 18 destina R$ 200000,00 para Apoio à realização do Dia do Estudante (umesb)","2013-01-16 00:57:00","DF","Emenda N° 18<BR>Valor:  R$ 200000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do Dia do Estudante (umesb)<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"19","Aqui a Emenda N° 19 destina R$ 200000,00 para Apoio à realização de eventos culturais das paróquias São Marcos e São Lucas em Ceilândia ","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 19<BR>Valor:  R$ 200000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização de eventos culturais das paróquias São Marcos e São Lucas em Ceilândia <BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"20","Aqui a Emenda N° 20 destina R$ 100000,00 para Apoio à realização do evento Viva Arte Via","2013-01-16 00:57:00","DF","Emenda N° 20<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do evento Viva Arte Via<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"21","Aqui a Emenda N° 21 destina R$ 100000,00 para Apoio à realização da Semana de Arte e Cultura de Ceilândia","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 21<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização da Semana de Arte e Cultura de Ceilândia<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"22","Aqui a Emenda N° 22 destina R$ 150000,00 para Apoio à realização da Caravana da Igualdade Racial","2013-01-16 00:57:00","DF","Emenda N° 22<BR>Valor:  R$ 150000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização da Caravana da Igualdade Racial<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"23","Aqui a Emenda N° 23 destina R$ 350000,00 para Construção de galpão e reforma das instalações prediais da Junta de Serviço Militar","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 23<BR>Valor:  R$ 350000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de galpão e reforma das instalações prediais da Junta de Serviço Militar<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: SE Justiça","IX-Ceilândia,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.81579", "-48.11825",YES,YES
"24","Aqui a Emenda N° 24 destina R$ 100000,00 para Apoio ao lançamento do CD Cantando São Francisco do Rio Abaixo nas escolas","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 24<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio ao lançamento do CD Cantando São Francisco do Rio Abaixo nas escolas<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"25","Aqui a Emenda N° 25 destina R$ 90000,00 para Apoio à realização do evento Tributo ao Rei Roberto Carlos","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 25<BR>Valor:  R$ 90000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do evento Tributo ao Rei Roberto Carlos<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"26","Aqui a Emenda N° 26 destina R$ 100000,00 para Apoio à realização do Festival de Música Cristã","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 26<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do Festival de Música Cristã<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"27","Aqui a Emenda N° 27 destina R$ 400000,00 para Apoio à realização de 10 edições do evento Andança Sertaneja","2013-01-16 00:57:00","DF","Emenda N° 27<BR>Valor:  R$ 400000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização de 10 edições do evento Andança Sertaneja<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"28","Aqui a Emenda N° 28 destina R$ 100000,00 para Apoio à realização do Festival Internacional de Bonecos","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 28<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do Festival Internacional de Bonecos<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"29","Aqui a Emenda N° 29 destina R$ 350000,00 para Apoio à realização de 7 eventos relativos a aniversários de bairros de Ceilândia","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 29<BR>Valor:  R$ 350000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização de 7 eventos relativos a aniversários de bairros de Ceilândia<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"30","Aqui a Emenda N° 30 destina R$ 200000,00 para Apoio à realização da Festa de Criança no Sol Nascente","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 30<BR>Valor:  R$ 200000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização da Festa de Criança no Sol Nascente<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"31","Aqui a Emenda N° 31 destina R$ 600000,00 para Construção de 4 quadras de esportes ","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 31<BR>Valor:  R$ 600000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de 4 quadras de esportes <BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Desporto Comunitário<BR>Unidade Orçamentária: Novacap","IX-Ceilândia,Luzia de Paula (Alírio),Desporto e Lazer,Desporto Comunitário,2013,", "-15.81579", "-48.11825",YES,YES
"32","Aqui a Emenda N° 32 destina R$ 225000,00 para Apoio à realização do Arraiá da Feira do Produtor em Ceilândia","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 32<BR>Valor:  R$ 225000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do Arraiá da Feira do Produtor em Ceilândia<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"33","Aqui a Emenda N° 33 destina R$ 150000,00 para Construção de quadra poliesportiva no Setor Habitacional Água Quente","2013-01-16 00:57:00","XV-Recanto das Emas","Emenda N° 33<BR>Valor:  R$ 150000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de quadra poliesportiva no Setor Habitacional Água Quente<BR>Região do DF onde será gasto o recurso: XV-Recanto das Emas<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Desporto Comunitário<BR>Unidade Orçamentária: AR Recanto das Emas","XV-Recanto das Emas,Luzia de Paula (Alírio),Desporto e Lazer,Desporto Comunitário,2013,", "-15.90669", "-48.07214",YES,YES
"34","Aqui a Emenda N° 34 destina R$ 100000,00 para Apoio à realização da Festa Junina da Guariroba","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 34<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização da Festa Junina da Guariroba<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"35","Aqui a Emenda N° 35 destina R$ 300000,00 para Realização de obras de revitalização da Feira do Produtor de Ceilândia","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 35<BR>Valor:  R$ 300000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Realização de obras de revitalização da Feira do Produtor de Ceilândia<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: Novacap","IX-Ceilândia,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.81579", "-48.11825",YES,YES
"36","Aqui a Emenda N° 36 destina R$ 150000,00 para Apoio à realização do evento Itinerância Forrozeira","2013-01-16 00:57:00","DF","Emenda N° 36<BR>Valor:  R$ 150000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do evento Itinerância Forrozeira<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"37","Aqui a Emenda N° 37 destina R$ 200000,00 para Apoio à realização do evento Vaqueijada JC","2013-01-16 00:57:00","DF","Emenda N° 37<BR>Valor:  R$ 200000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do evento Vaqueijada JC<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"38","Aqui a Emenda N° 38 destina R$ 200000,00 para Apoio à realização do evento Folia de Reis","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 38<BR>Valor:  R$ 200000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do evento Folia de Reis<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","IX-Ceilândia,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.81579", "-48.11825",YES,YES
"39","Aqui a Emenda N° 39 destina R$ 400000,00 para Apoio à realização de 10 edições do evento Radio Feira Show","2013-01-16 00:57:00","DF","Emenda N° 39<BR>Valor:  R$ 400000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização de 10 edições do evento Radio Feira Show<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"40","Aqui a Emenda N° 40 destina R$ 60000,00 para Apoio à realização de eventos esportivos (Leão de Judá)","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 40<BR>Valor:  R$ 60000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização de eventos esportivos (Leão de Judá)<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Desporto Comunitário<BR>Unidade Orçamentária: SE Esporte","IX-Ceilândia,Luzia de Paula (Alírio),Desporto e Lazer,Desporto Comunitário,2013,", "-15.81579", "-48.11825",YES,YES
"41","Aqui a Emenda N° 41 destina R$ 390000,00 para Apoio à entidades que atuam na área de assistência social","2013-01-16 00:57:00","DF","Emenda N° 41<BR>Valor:  R$ 390000,00 <BR>Autor: Arlete Sampaio <BR>O valor será gasto em: Apoio à entidades que atuam na área de assistência social<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Assistência Social<BR>Subfunção: Ass. Criança / Adolescente<BR>Unidade Orçamentária: SEDEST","DF,Arlete Sampaio,Assistência Social,Ass. Criança / Adolescente,2013,", "-15.77972", "-47.92972",YES,YES
"42","Aqui a Emenda N° 42 destina R$ 40000,00 para Apoio a eventos de divulgação do cultivo de orquídeas","2013-01-16 00:57:00","DF","Emenda N° 42<BR>Valor:  R$ 40000,00 <BR>Autor: Arlete Sampaio <BR>O valor será gasto em: Apoio a eventos de divulgação do cultivo de orquídeas<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Agricultura <BR>Subfunção: null<BR>Unidade Orçamentária: Jardim Botânico","DF,Arlete Sampaio,Agricultura ,null,2013,", "-15.77972", "-47.92972",YES,YES
"43","Aqui a Emenda N° 43 destina R$ 100000,00 para Apoio financeiro ao Instituto Histórico e Geográfico do DF","2013-01-16 00:57:00","DF","Emenda N° 43<BR>Valor:  R$ 100000,00 <BR>Autor: Arlete Sampaio <BR>O valor será gasto em: Apoio financeiro ao Instituto Histórico e Geográfico do DF<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Patrimônio histórico<BR>Unidade Orçamentária: SE Cultura","DF,Arlete Sampaio,Cultura,Patrimônio histórico,2013,", "-15.77972", "-47.92972",YES,YES
"44","Aqui a Emenda N° 44 destina R$ 100000,00 para Revitalização do Parque Vivencial II","2013-01-16 00:57:00","XVIII-Lago Norte","Emenda N° 44<BR>Valor:  R$ 100000,00 <BR>Autor: Arlete Sampaio <BR>O valor será gasto em: Revitalização do Parque Vivencial II<BR>Região do DF onde será gasto o recurso: XVIII-Lago Norte<BR>Ação: Não informada <BR>Função: Gestão Ambiental<BR>Subfunção: Revitalização de parques<BR>Unidade Orçamentária: AR Lago Norte","XVIII-Lago Norte,Arlete Sampaio,Gestão Ambiental,Revitalização de parques,2013,", "-15.73601", "-47.86119",YES,YES
